ELAVL4	Elavl4
Rara	RARA
RARA	Rara
Wt1	WT1
WT1	Wt1
Cldn1	CLDN1
CLDN1	Cldn1
Pou4f3	POU4F3
POU4F3	Pou4f3
Vars	VARS1
VARS1	Vars
Rax	RAX
RAX	Rax
Nras	NRAS
NRAS	Nras
Fzd4	FZD4
FZD4	Fzd4
Mpp7	MPP7
MPP7	Mpp7
Smad2	SMAD2
SMAD2	Smad2
Ccnd1	CCND1
CCND1	Ccnd1
Nccrp1	NCCRP1
NCCRP1	Nccrp1
Pdx1	PDX1
PDX1	Pdx1
Csnk2a2	CSNK2A2
CSNK2A2	Csnk2a2
Hoxc10	HOXC10
HOXC10	Hoxc10
Copg2	COPG2
COPG2	Copg2
Copg1	COPG1
COPG1	Copg1
Hoxa5	HOXA5
HOXA5	Hoxa5
Rrm2	RRM2
RRM2	Rrm2
Wnt1	WNT1
WNT1	Wnt1
Khdrbs1	KHDRBS1
KHDRBS1	Khdrbs1
Dlx3	DLX3
DLX3	Dlx3
Spon1	SPON1
SPON1	Spon1
Ccne1	CCNE1
CCNE1	Ccne1
Ehmt2	EHMT2
EHMT2	Ehmt2
Stat1	STAT1
STAT1	Stat1
Cldn4	CLDN4
CLDN4	Cldn4,Cldn13
Casp3	CASP3
CASP3	Casp3
Nanos3	NANOS3
NANOS3	Nanos3
Ptprs	PTPRS
PTPRS	Ptprs
Lactb	LACTB
LACTB	Lactb
Olfr1	OR1E1,OR1E2,OR1E3
OR1E1	Olfr1,Olfr389,Olfr391,Olfr382,Olfr394,Olfr385,Olfr381,Olfr395,Olfr380,Olfr392,Olfr23,Olfr393,Olfr20,Olfr390,Olfr384,Olfr378
OR1E2	Olfr1,Olfr389,Olfr391,Olfr376,Olfr382,Olfr394,Olfr385,Olfr381,Olfr395,Olfr380,Olfr392,Olfr23,Olfr393,Olfr390,Olfr384,Olfr378
